"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Apr 2017","1","81.65","80.68","0.21","-0.03","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","2","75.61","74.41","0.05","0.35","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","3","69.94","68.94","0.05","0.16","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","4","67.33","66.49","0.03","0.01","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","5","66.20","65.47","0.03","-0.10","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","6","66.04","65.46","0.03","-0.25","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","7","65.51","64.88","0.03","-0.20","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","8","65.64","64.85","0.03","-0.03","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","9","65.09","64.46","0.03","-0.20","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","10","65.03","64.46","0.03","-0.26","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","11","65.40","64.85","0.03","-0.27","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","12","65.60","64.92","0.19","-0.31","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","13","66.09","65.47","0.23","-0.40","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","14","66.39","65.87","0.24","-0.51","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","15","68.26","67.52","0.31","-0.37","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","16","69.75","69.06","0.31","-0.41","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","17","79.11","78.29","0.34","-0.31","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","18","76.04","75.12","0.27","-0.14","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","19","82.96","82.25","0.37","-0.45","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","20","85.04","84.28","0.37","-0.40","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","21","88.98","88.49","0.37","-0.68","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","22","91.06","90.58","0.39","-0.71","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","23","92.22","91.78","0.37","-0.72","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","24","88.81","88.50","0.34","-0.83","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","25","88.08","87.65","0.34","-0.70","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","26","87.17","86.47","0.33","-0.42","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","27","85.74","84.78","0.34","-0.17","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","28","84.46","83.38","0.31","-0.02","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","29","83.86","82.79","0.32","-0.04","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","30","80.49","79.68","0.25","-0.23","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","31","80.71","79.68","0.25","-0.01","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","32","76.49","75.52","0.19","-0.01","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","33","75.91","75.11","0.19","-0.19","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","34","75.51","74.79","0.21","-0.29","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","35","74.13","73.82","0.19","-0.68","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","36","70.79","70.57","0.23","-0.80","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","37","74.07","73.82","0.26","-0.80","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","38","75.73","75.48","0.27","-0.82","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","39","83.03","82.26","0.37","-0.40","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","40","80.56","79.78","0.30","-0.32","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","41","80.17","79.74","0.21","-0.58","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","42","80.60","80.30","0.21","-0.70","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","43","80.60","80.27","0.21","-0.68","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","44","78.17","77.93","0.21","-0.77","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","45","75.82","74.80","0.22","0.00","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","46","71.29","69.99","0.22","0.29","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","47","67.88","66.93","0.06","0.10","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","01 Apr 2017","48","67.81","66.94","0.04","0.04","0.00","0.23","0.2450","0.0096","0.3104"
"WEP","02 Apr 2017","1","71.85","70.58","0.04","0.43","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","2","68.71","67.73","0.02","0.15","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","3","69.60","68.47","0.02","0.30","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","4","66.09","65.48","0.02","-0.21","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","5","66.20","65.47","0.01","-0.09","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","6","65.55","64.75","0.17","-0.18","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","7","65.54","64.46","0.17","0.10","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","8","65.46","64.39","0.17","0.09","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","9","64.78","63.74","0.17","0.06","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","10","65.50","64.39","0.21","0.09","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","11","65.64","64.46","0.17","0.20","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","12","65.83","64.47","0.40","0.15","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","13","66.05","64.46","0.82","-0.04","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","14","65.28","64.46","0.25","-0.23","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","15","65.58","64.47","0.49","-0.19","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","16","64.77","63.96","0.49","-0.49","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","17","66.18","64.77","0.74","-0.13","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","18","68.65","67.75","0.39","-0.30","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","19","72.64","71.59","0.46","-0.22","0.00","0.23","0.2450","0.0099","0.3225"
"WEP","02 Apr 2017","20","77.01","76.19","0.27","-0.25","0.00","0.23","0.2450","0.0099","0.3225"
